name	genename	timepoint	switch	pvalueSwitch	experiment	FCdown	FCup
iars	ENSDART00000004423.10	4.5	up	0.0797004074832169	MZspg	2.5hpf 3.0hpf	
znf292a	ENSDART00000004424.10	5.5	up	0.00668065014921382	MZspg		
epb41l3b	ENSDART00000004431.9	5	up	0.0360643261477276	MZspg		
larp6b	ENSDART00000004483.8	4.5	down	0.00232826125031615	MZspg		
dag1	ENSDART00000004504.8	2.5	down	0.0854053066332455	MZspg		
bet1	ENSDART00000004514.7	4	down	0.00772428002156866	MZspg		
arih2	ENSDART00000004521.10	4	up	0.0872461374339661	MZspg		
rnf145a	ENSDART00000004550.11	5	up	0.0124223172778073	MZspg		3.0hpf 4.0hpf
clptm1l	ENSDART00000004585.7	5.5	down	0.0699396728040919	MZspg		
asic1a	ENSDART00000004588.7	2.5	down	0.12403274669674	MZspg	2.5hpf 3.0hpf 3.5hpf 4.0hpf 4.5hpf 5.0hpf 5.5hpf 6.0hpf	
laptm4a	ENSDART00000004601.10	4	down	0.00198851499937647	MZspg		
sf3b4	ENSDART00000004622.9	5	up	0.00381715864479082	MZspg		4.0hpf 4.5hpf 5.0hpf 5.5hpf
zar1	ENSDART00000004625.6	5.5	down	0.0465657883264107	MZspg		
sec62	ENSDART00000004626.9	4.5	up	0.0126105975305109	MZspg		
sephs2	ENSDART00000004655.8	4	up	0.0777198399364976	MZspg		
tram1	ENSDART00000004664.8	5.5	down	0.0721366291096961	MZspg		
idh2	ENSDART00000004692.9	4.5	up	0.00658893039456199	MZspg	2.5hpf 3.0hpf 6.0hpf	
rhcgl1	ENSDART00000004727.8	5.5	up	0.0516029139984684	MZspg	2.5hpf 3.0hpf 3.5hpf 4.0hpf 4.5hpf 5.0hpf 5.5hpf 6.0hpf	
nup50	ENSDART00000004739.8	2.5	up	0.109285130566824	MZspg		
poc1b	ENSDART00000004771.9	5	down	0.00160154312659821	MZspg		
man2b1	ENSDART00000004780.10	3	up	0.0961796778113011	MZspg	6.0hpf	
mphosph10	ENSDART00000004782.8	4	up	0.0137923715509782	MZspg		
wrnip1	ENSDART00000004848.7	5	down	0.0324315369595287	MZspg	6.0hpf	
hsp90b1	ENSDART00000004879.6	5.5	down	0.0394619761762396	MZspg		
kat7b	ENSDART00000004896.10	5	up	0.0110505736637917	MZspg		
ccnl1b	ENSDART00000004899.6	4.5	up	0.064643698975364	MZspg		
rdh10b	ENSDART00000004903.9	5	up	0.0100329805849539	MZspg	2.5hpf 3.0hpf 3.5hpf	
smurf1	ENSDART00000004923.9	3.5	down	0.00545679131532251	MZspg		
tktb	ENSDART00000005021.6	4.5	up	0.00638106251259729	MZspg		
hdr	ENSDART00000005025.7	3.5	down	0.00518436762302321	MZspg		
slc12a4	ENSDART00000005053.11	5.5	down	0.0912247977396335	MZspg		
rbpja	ENSDART00000005067.10	4.5	down	0.00422250504171451	MZspg		
atp1a1b	ENSDART00000005086.6	4.5	up	0.00126935008604634	MZspg	4.0hpf 4.5hpf 5.0hpf 5.5hpf 6.0hpf	
alg9	ENSDART00000005090.9	4.5	down	0.0342009603108696	MZspg		
gpx8	ENSDART00000005118.9	5	down	0.00522511553094107	MZspg		
garem	ENSDART00000005127.10	4.5	down	0.0234364039392549	MZspg		
med27	ENSDART00000005140.8	5	down	0.0520045192230199	MZspg		
mycb	ENSDART00000005143.6	5.5	down	0.0618692203012685	MZspg	5.0hpf 5.5hpf 6.0hpf	
asz1	ENSDART00000005145.6	4.5	down	0.00357110734580424	MZspg	6.0hpf	
ccnt1	ENSDART00000005158.8	5.5	up	0.0715653794262776	MZspg		
ddx55	ENSDART00000005168.6	4	up	0.0583542155870065	MZspg		
bsdc1	ENSDART00000005195.10	5	up	0.0114869022458925	MZspg		
alas1	ENSDART00000005217.9	4	up	0.00497897033118078	MZspg		
thap12b	ENSDART00000005221.7	4.5	down	0.00306064437647535	MZspg		
mrpl53	ENSDART00000005255.9	5	up	0.0275040512221278	MZspg		
usf1l	ENSDART00000005263.9	5.5	up	0.129740029502047	MZspg		
