"name"	"genename"	"pvalueSwitch"	"switch"	"timepoint"	"experiment"
"ENSDART00000169386.2"	"faua"	0.116046970275464	"1"	"4.5"	"MZspg"
"ENSDART00000169404.3"	"hspa5"	0.131873541582008	"-1"	"4.0"	"MZspg"
"ENSDART00000169405.2"	"si:dkey-68o6.5"	NA	"0"	" NA"	"MZspg"
"ENSDART00000169420.2"	"nme2b.2"	0.138030469031118	"1"	"4.5"	"MZspg"
"ENSDART00000169443.2"	"CABZ01088428.1"	0.0963204567931503	"-1"	"4.5"	"MZspg"
"ENSDART00000169448.2"	"si:ch73-299h12.1"	0.127762810056036	"1"	"3.0"	"MZspg"
"ENSDART00000169464.2"	"rpl14"	0.0982355873091428	"1"	"4.5"	"MZspg"
"ENSDART00000169473.2"	"fbxo11a"	NA	"0"	" NA"	"MZspg"
"ENSDART00000169474.2"	"mtmr3"	0.0394959265180803	"-1"	"3.5"	"MZspg"
"ENSDART00000169493.2"	"brf2"	0.0855288833094673	"-1"	"3.5"	"MZspg"
"ENSDART00000169520.2"	"si:ch211-241b2.1"	0.108256284678116	"1"	"4.0"	"MZspg"
"ENSDART00000169523.2"	"mcm7"	0.112758195465002	"1"	"4.0"	"MZspg"
"ENSDART00000169527.2"	"snx25"	0.0906365763963689	"-1"	"3.5"	"MZspg"
"ENSDART00000169539.2"	"CR388132.2"	0.120747776699314	"1"	"4.0"	"MZspg"
"ENSDART00000169574.2"	"tatdn1"	NA	"0"	" NA"	"MZspg"
"ENSDART00000169577.2"	"si:ch73-359m17.2"	NA	"0"	" NA"	"MZspg"
"ENSDART00000169588.3"	"lgr4"	0.113811130110415	"1"	"4.5"	"MZspg"
"ENSDART00000169597.3"	"si:cabz01021426.2"	0.14223441116398	"1"	"4.5"	"MZspg"
"ENSDART00000169600.2"	"abhd4"	0.0404019047422136	"-1"	"4.5"	"MZspg"
"ENSDART00000169601.2"	"TADA1"	NA	"0"	" NA"	"MZspg"
"ENSDART00000169609.2"	"tefb"	0.138149053260848	"-1"	"3.5"	"MZspg"
"ENSDART00000169614.2"	"nadsyn1"	NA	"0"	" NA"	"MZspg"
"ENSDART00000169624.2"	"dele1"	0.0463431606913702	"-1"	"3.0"	"MZspg"
"ENSDART00000169629.2"	"znf45l"	NA	"0"	" NA"	"MZspg"
"ENSDART00000169634.2"	"si:dkey-21c1.8"	0.14045850037117	"1"	"3.5"	"MZspg"
"ENSDART00000169636.2"	"si:ch211-71n6.4"	0.13743798040053	"1"	"4.5"	"MZspg"
"ENSDART00000169638.2"	"wu:fa19b12"	0.146609899962253	"-1"	"3.0"	"MZspg"
"ENSDART00000169639.2"	"si:dkey-206d17.12"	0.119101313176455	"-1"	"3.0"	"MZspg"
"ENSDART00000169643.2"	"arhgap28"	0.0514876472830018	"-1"	"3.5"	"MZspg"
"ENSDART00000169678.2"	"ppp4r1l"	0.092573723227926	"-1"	"3.0"	"MZspg"
"ENSDART00000169682.2"	"hdac4"	0.100337174755108	"-1"	"3.5"	"MZspg"
"ENSDART00000169685.1"	"hikeshi"	0.145735867285073	"1"	"4.5"	"MZspg"
"ENSDART00000169696.2"	"CDHR1 (1 of many)"	NA	"0"	" NA"	"MZspg"
"ENSDART00000169697.3"	"mios"	NA	"0"	" NA"	"MZspg"
